,Cluster_Label
0,2
1,2
2,2
3,0
4,0
5,2
6,0
7,0
8,2
9,2
10,2
11,2
12,2
13,2
14,1
15,2
16,2
17,1
18,2
19,2
20,0
21,2
22,2
23,2
24,2
25,1
26,0
27,1
28,1
29,2
30,1
31,2
32,1
33,2
34,2
35,2
36,0
37,2
38,2
39,2
40,2
41,2
42,2
43,0
44,2
45,2
46,0
47,0
48,2
49,2
50,2
51,1
52,2
53,0
54,1
55,2
56,2
57,2
58,3
59,2
60,1
61,2
62,0
63,2
64,2
65,0
66,0
67,1
68,0
69,3
70,0
71,2
72,0
73,2
74,2
75,1
76,2
77,2
78,2
79,2
80,0
81,2
82,2
83,2
84,2
85,1
86,2
87,3
88,2
89,2
90,1
91,0
92,2
93,2
94,2
95,2
96,2
97,2
98,1
99,2
100,1
101,2
102,0
103,2
104,2
105,2
106,2
107,1
108,2
109,2
110,0
111,1
112,1
113,2
114,2
115,3
116,1
117,1
118,2
119,1
120,0
121,1
122,2
123,2
124,1
125,1
126,0
127,0
128,0
129,2
130,1
131,0
132,3
133,2
134,2
135,2
136,1
137,0
138,3
139,0
140,0
141,3
142,0
143,0
144,1
145,0
146,0
147,0
148,2
149,0
150,0
151,1
152,3
153,2
154,2
155,2
156,1
157,2
158,2
159,0
160,0
161,2
162,1
163,2
164,0
165,1
166,2
167,2
168,3
169,0
170,1
171,0
172,2
173,3
174,1
175,2
176,2
177,3
178,3
179,3
180,0
181,3
182,0
183,0
184,2
185,0
186,2
187,1
188,2
189,1
190,0
191,0
192,2
193,1
194,3
195,3
196,2
197,2
198,1
199,2
200,2
201,1
202,2
203,0
204,2
205,2
206,0
207,2
208,1
209,3
210,1
211,0
212,1
213,2
214,3
215,1
216,0
217,0
218,1
219,1
220,1
221,2
222,2
223,1
224,0
225,2
226,2
227,1
228,2
229,0
230,0
231,2
232,0
233,0
234,2
235,0
236,0
237,0
238,2
239,0
240,2
241,1
242,0
243,0
244,0
245,0
246,1
247,0
248,2
249,0
250,2
251,2
252,2
253,1
254,0
255,1
256,2
257,2
258,1
259,0
260,2
261,2
262,2
263,0
264,1
265,2
266,2
267,2
268,1
269,2
270,1
271,2
272,1
273,0
274,2
275,2
276,1
277,0
278,2
279,1
280,0
281,0
282,0
283,0
284,2
285,0
286,0
287,3
288,2
289,0
290,3
291,2
292,2
293,1
294,2
295,3
296,3
297,3
298,2
299,2
300,0
301,2
302,0
303,0
304,0
305,2
306,2
307,3
308,0
309,2
310,2
311,0
312,2
313,0
314,0
315,2
316,2
317,2
318,0
319,0
320,3
321,2
322,2
323,0
324,1
325,2
326,2
327,1
328,0
329,3
330,2
331,0
332,0
333,1
334,1
335,2
336,1
337,2
338,1
339,2
340,2
341,2
342,1
343,3
344,2
345,0
346,0
347,2
348,2
349,0
350,2
351,2
352,2
353,0
354,0
355,2
356,0
357,2
358,0
359,2
360,2
361,2
362,1
363,2
364,2
365,1
366,2
367,2
368,2
369,2
370,2
371,1
372,0
373,0
374,1
375,2
376,2
377,0
378,3
379,0
380,1
381,1
382,0
383,2
384,0
385,2
386,2
387,2
388,1
389,2
390,2
391,2
392,0
393,1
394,2
395,2
396,1
397,1
398,3
399,0
400,2
401,1
402,2
403,2
404,1
405,2
406,2
407,2
408,3
409,2
410,2
411,1
412,2
413,2
414,2
415,3
416,0
417,1
418,2
419,2
420,1
421,0
422,0
423,2
424,2
425,0
426,3
427,3
428,2
429,2
430,1
431,2
432,2
433,2
434,2
435,1
436,0
437,3
438,3
439,1
440,0
441,2
442,2
443,3
444,0
445,2
446,2
447,0
448,0
449,2
450,2
451,0
452,2
453,2
454,1
455,2
456,2
457,2
458,0
459,2
460,0
461,3
462,2
463,2
464,1
465,0
466,0
467,1
468,3
469,2
470,2
471,3
472,0
473,2
474,2
475,0
476,0
477,2
478,1
479,0
480,2
481,0
482,0
483,2
484,0
485,3
486,2
487,0
488,0
489,0
490,2
491,2
492,2
493,1
494,1
495,0
496,2
497,2
498,2
499,0
500,2
501,2
502,0
503,2
504,2
505,2
506,2
507,1
508,3
509,0
510,2
511,2
512,2
513,0
514,2
515,0
516,2
517,2
518,2
519,1
520,2
521,1
522,2
523,2
524,0
525,2
526,1
527,1
528,2
529,1
530,1
531,1
532,0
533,0
534,2
535,2
536,0
537,3
538,2
539,2
540,2
541,3
542,2
543,0
544,1
545,3
